function,category,in_excel,in_google_sheets,in_libreoffice,google_sheets_verdict,google_sheets_executed,libreoffice_verdict,libreoffice_version_tested,libreoffice_newly_supported_in
ABS,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
ACCRINT,Financial,True,True,True,,,,,
ACCRINTM,Financial,True,True,True,,,,,
ACOS,Math and trigonometry,True,True,True,,,,,
ACOSH,Math and trigonometry,True,True,True,,,,,
ACOT,Math and trigonometry,True,True,True,,,,,
ACOTH,Math and trigonometry,True,True,True,,,,,
ADD,Operator,False,True,False,,,,,
ADDRESS,Lookup and reference,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
AGGREGATE,Math and trigonometry,True,False,True,unsupported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
AI,AI,False,True,False,,,,,
AMORDEGRC,Financial,True,False,True,,,,,
AMORLINC,Financial,True,True,True,,,,,
AND,Logical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
ARABIC,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
AREAS,Lookup and reference,True,False,True,,,,,
ARRAYFORMULA,Google,False,True,False,,,,,
ARRAYTOTEXT,Text,True,False,False,unsupported,"Google Sheets (Drive import, 2026-08-29)",unsupported,25.8.7.3,
ARRAY_CONSTRAIN,Array,False,True,False,,,,,
ASC,Text,True,True,True,,,,,
ASIN,Math and trigonometry,True,True,True,,,,,
ASINH,Math and trigonometry,True,True,True,,,,,
ATAN,Math and trigonometry,True,True,True,,,,,
ATAN2,Math and trigonometry,True,True,True,,,,,
ATANH,Math and trigonometry,True,True,True,,,,,
AVEDEV,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
AVERAGE,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
AVERAGE.WEIGHTED,Statistical,False,True,False,,,,,
AVERAGEA,Statistical,True,True,True,,,,,
AVERAGEIF,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
AVERAGEIFS,Statistical,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
BAHTTEXT,Text,True,False,True,,,,,
BASE,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
BESSELI,Engineering,True,False,True,,,,,
BESSELJ,Engineering,True,False,True,,,,,
BESSELK,Engineering,True,False,True,,,,,
BESSELY,Engineering,True,False,True,,,,,
BETA.DIST,Statistical,True,True,True,,,,,
BETA.INV,Statistical,True,True,True,,,,,
BETADIST,Compatibility,True,True,True,,,,,
BETAINV,Compatibility,True,True,True,,,,,
BIN2DEC,Engineering,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
BIN2HEX,Engineering,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
BIN2OCT,Engineering,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
BINOM.DIST,Statistical,True,True,True,,,,,
BINOM.DIST.RANGE,Statistical,True,False,False,,,,,
BINOM.INV,Statistical,True,True,True,,,,,
BINOMDIST,Compatibility,True,True,True,,,,,
BITAND,Engineering,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
BITLSHIFT,Engineering,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
BITOR,Engineering,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
BITRSHIFT,Engineering,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
BITXOR,Engineering,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
BYCOL,Logical,True,True,False,supported,"Google Sheets (Drive import, 2026-08-29)",unsupported,25.8.7.3,
BYROW,Logical,True,True,False,supported,"Google Sheets (Drive import, 2026-08-29)",unsupported,25.8.7.3,
CALL,Add-in and Automation,True,False,False,,,,,
CEILING,Compatibility,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
CEILING.MATH,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
CEILING.PRECISE,Math and trigonometry,True,True,True,supported,"Google Sheets (Drive import, 2026-08-29)",supported,25.8.7.3,
CELL,Information,True,True,True,,,,,
CHAR,Text,True,True,True,quirky,"Google Sheets (Drive import, 2026-08-29)",quirky,25.8.7.3,
CHIDIST,Compatibility,True,True,True,,,,,
CHIINV,Compatibility,True,True,True,,,,,
CHISQ.DIST,Statistical,True,True,True,,,,,
